CaseNumber,Sample,D3S1358,D3S1358,D1S1656,D1S1656,D2S441,D2S441,D10S1248,D10S1248,D13S317,D13S317,Penta_E,Penta_E,D16S539,D16S539,D18S51,D18S51,D2S1338,D2S1338,CSF1PO,CSF1PO,Penta_D,Penta_D,TH01,TH01,vWA,vWA,D21S11,D21S11,D7S820,D7S820,D5S818,D5S818,TPOX,TPOX,D8S1179,D8S1179,D12S391,D12S391,D19S433,D19S433,FGA,FGA,D22S1045,D22S1045
Individual,1,18,15.2,17.3,15.3,12.3,13,11,13,14,8,8,5,10,10,14,19,20,21,7,12,13,3.2,7,6,17,18,35,31,6,6,10,9,12,6,9,11,14,18.3,14.2,10,18.2,24,17,16
Individual,2,16,19,15.3,18.3,11.3,11,17,11,13,13,8,14,9,5,15,21,24,20,11,11,2.2,6,6,7,21,17,34,32.2,9,10,9,10,9,13,10,9,20,21,18.2,16,19.2,25,16,8
Individual,3,14,16,16.3,17,13.3,14.3,17,14,12,10,17,13,9,14,15.2,17,25,26,7,8,7,6,7,6,20,19,28,34,9,12,11,9,13,11,9,11,15,19.3,18.2,14,26,29,8,17
Individual,4,15.2,15,17,16,11,15,14,12,10,8,15,8,14,12,13.2,9,21,26,8,11,6,13.4,6,6,15,13,31,32.2,11,12,8,9,9,8,8,11,18.3,19.3,17.2,16,29,22.2,13,18
Individual,5,13,19,14,13,13,14.3,11,13,12,14,6,11,13,9,12,21,20,17,11,13,17,7,8,7,16,16,37,26,9,6,9,12,11,6,10,15,19.3,19.1,13,18.2,16.2,27,16,14
Individual,6,12,14,15,16.3,13,15,17,9,13,12,19,5,9,10,24,22,22,21,14,12,10,2.2,8,8,21,17,31.2,30,8,8,12,14,11,12,8,12,24,21,12,12.2,23.2,26,8,18
Individual,7,19,12,13,17,14,15,18,9,14,10,25,18,14,5,19,17,23,15,13,12,11,2.2,10,5,21,11,39,32.2,12,12,9,8,7,7,9,14,20.1,21,14.2,12,28,26,19,17
Individual,8,12,14,13,17,9,12,11,18,9,9,12,6,10,13,21,13.2,16,21,11,9,10,7,10,7,18,13,35,33.2,12,11,7,13,9,6,10,18,14,22,15,18.2,25,19.2,8,8
Individual,9,16,12,15.3,15.3,14.3,13,13,11,10,10,13,6,9,14,16,23,18,22,11,9,17,5,9,9.3,19,20,32.2,33.2,11,14,7,7,9,10,9,15,25,16,12,16.2,27,23,16,18
Individual,10,12,12,13,14,15,13,11,15,10,8,15,14,5,9,13.2,14,22,18,8,11,5,7,9.3,9,18,20,29.3,35,7,12,13,15,11,8,17,14,17.1,20.1,10,13.2,19.2,17.2,8,14
