Allele,D3S1358,D13S317,D16S539,D18S51,D2S1338,CSF1PO,TH01,vWA,D21S11,D7S820,D5S818,TPOX,D8S1179,D19S433,FGA
2.2,,,,,,,,,,,,,,,
3.2,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
4.2,,,,,,,,,,,,,,,
5,,,,,,,0.0040000000000000,,,,,,,,
6,,,,,,0.0040000000000000,0.1080000000000000,,,,,0.0440000000000000,,,
6.3,,,,,,,,,,,,,,,
7,,,,,,0.0560000000000000,0.4080000000000000,,,0.0120000000000000,0.0080000000000000,0.0160000000000000,,,
8,,0.0160000000000000,0.0160000000000000,,,0.0720000000000000,0.2480000000000000,,,0.1720000000000000,0.0600000000000000,0.3240000000000000,0.0080000000000000,,
8.3,,,,,,,,,,,,,,,
9,,0.0320000000000000,0.1960000000000000,,,0.0240000000000000,0.1360000000000000,,,0.1320000000000000,0.0160000000000000,0.2120000000000000,0.0080000000000000,0.007,
9.2,,,,,,,,,,,,,,,
9.3,,,,,,,0.0920000000000000,,,,,,,,
10,,0.0200000000000000,0.1080000000000000,,,0.2920000000000000,0.0040000000000000,,,0.3400000000000000,0.0680000000000000,0.1040000000000000,0.0120000000000000,0.015,
10.2,,,,,,,,,,,,,,0.007,
11,,0.3640000000000000,0.2880000000000000,0.0040000000000000,,0.2160000000000000,,0.0120000000000000,,0.2040000000000000,0.2520000000000000,0.2800000000000000,0.0320000000000000,0.071,
11.2,,,,,,,,,,,,,,0.007,
12,0.0160000000000000,0.3760000000000000,0.2200000000000000,0.0640000000000000,,0.2880000000000000,,0.0040000000000000,,0.1160000000000000,0.3440000000000000,0.0200000000000000,0.1160000000000000,0.108,
12.2,,,,,,,,,,,,,,0.063,
13,0.0040000000000000,0.1440000000000000,0.1520000000000000,0.0560000000000000,,0.0320000000000000,,0.0280000000000000,,0.0240000000000000,0.2360000000000000,,0.1480000000000000,0.298,
13.2,,,,0.0040000000000000,,,,,,,,,,0.057,
13.3,,,,,,,,,,,,,,,
14,0.0680000000000000,0.0440000000000000,0.0200000000000000,0.0840000000000000,,0.0160000000000000,,0.0600000000000000,,,0.0160000000000000,,0.3840000000000000,0.21,
14.2,,,,0.0120000000000000,,,,,,,,,,0.042,
14.3,,,,,,,,,,,,,,,
15,0.3120000000000000,0.0040000000000000,,0.2040000000000000,0.007,,,0.2120000000000000,,,,,0.2160000000000000,0.048,
15.2,,,,0.0040000000000000,,,,,,,,,,0.034,
15.3,,,,,,,,,,,,,,,
16,0.2920000000000000,,,0.1600000000000000,0.053,,,0.2640000000000000,,,,,0.0640000000000000,0.024,
16.2,,,,,,,,,,,,,,0.024,
16.3,,,,,,,,,,,,,,,
17,0.2400000000000000,,,0.1480000000000000,0.108,,,0.2280000000000000,,,,,0.0080000000000000,0.007,0.0040000000000000
17.2,,,,,,,,,,,,,,0.007,
17.3,,,,,,,,,,,,,,,
18,0.0640000000000000,,,0.1200000000000000,0.056,,,0.0960000000000000,,,,,0.0000000000000000,,0.0120000000000000
18.2,,,,,,,,,,,,,,0.007,0.0160000000000000
18.3,,,,,,,,,,,,,,,
19,0.0040000000000000,,,0.0680000000000000,0.142,,,0.0720000000000000,,,,,0.0040000000000000,,0.0760000000000000
19.2,,,,,,,,,,,,,,,0.0040000000000000
19.3,,,,,,,,,,,,,,,
20,,,,0.0480000000000000,0.06,,,0.0160000000000000,,,,,,,0.0440000000000000
20.2,,,,,,,,,,,,,,,
20.3,,,,,,,,,,,,,,,
21,,,,0.0160000000000000,0.14,,,0.0040000000000000,,,,,,,0.1360000000000000
21.2,,,,,,,,,,,,,,,
22,,,,0.0080000000000000,0.132,,,0.0040000000000000,,,,,,,0.1960000000000000
22.2,,,,,,,,,,,,,,,
23,,,,,0.108,,,,,,,,,,0.1720000000000000
23.2,,,,,,,,,0.0040000000000000,,,,,,
24,,,,,0.098,,,,,,,,,,0.1440000000000000
24.2,,,,,,,,,,,,,,,
25,,,,,0.081,,,,,,,,,,0.0960000000000000
25.2,,,,,,,,,,,,,,,
26,,,,,0.02,,,,,,,,,,0.0520000000000000
26.2,,,,,,,,,,,,,,,
27,,,,,0.007,,,,0.0680000000000000,,,,,,0.0200000000000000
27.2,,,,,,,,,,,,,,,
28,,,,,0.007,,,,0.2560000000000000,,,,,,0.0080000000000000
28.2,,,,,,,,,,,,,,,
29,,,,,,,,,0.1600000000000000,,,,,,0.0080000000000000
29.2,,,,,,,,,,,,,,,
30,,,,,,,,,0.1800000000000000,,,,,,0.0040000000000000
30.2,,,,,,,,,0.0280000000000000,,,,,,0.0040000000000000
31,,,,,,,,,0.1120000000000000,,,,,,
31.2,,,,,,,,,0.0320000000000000,,,,,,0.0040000000000000
32,,,,,,,,,0.0160000000000000,,,,,,
32.2,,,,,,,,,0.0640000000000000,,,,,,
33,,,,,,,,,0.0160000000000000,,,,,,
33.1,,,,,,,,,,,,,,,
33.2,,,,,,,,,0.0200000000000000,,,,,,
34,,,,,,,,,0.0120000000000000,,,,,,
34.2,,,,,,,,,0.0040000000000000,,,,,,
35,,,,,,,,,0.0240000000000000,,,,,,
35.2,,,,,,,,,,,,,,,
36,,,,,,,,,0.0040000000000000,,,,,,
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
42.2,,,,,,,,,,,,,,,
43.2,,,,,,,,,,,,,,,
44.2,,,,,,,,,,,,,,,
45.2,,,,,,,,,,,,,,,
46.2,,,,,,,,,,,,,,,
47.2,,,,,,,,,,,,,,,
48.2,,,,,,,,,,,,,,,
50.2,,,,,,,,,,,,,,,
51.2,,,,,,,,,,,,,,,
N,250,250,250,250,714,250,250,250,250,250,250,250,250,714,250
