Allele,D3S1358,D13S317,D16S539,D18S51,D2S1338,CSF1PO,TH01,vWA,D21S11,D7S820,D5S818,TPOX,D8S1179,D19S433,FGA
2.2,,,,,,,,,,,,,,,
3.2,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
4.2,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
6,,,,,,,0.1096774193548390,,,,,,,,
6.3,,,,,,,,,,,,,,,
7,,,,,,0.0096774193548387,0.2709677419354840,,,0.0096774193548387,0.0387096774193548,,,,
8,,0.2838709677419350,0.0096774193548387,,,,0.0612903225806452,,,0.1516129032258060,0.0096774193548387,0.5129032258064520,,,
8.3,,,,,,,,,,,,,,,
9,,0.1258064516129030,0.2451612903225810,,,0.0645161290322581,0.4645161290322580,,,0.0677419354838710,0.0838709677419355,0.1645161290322580,0.0032258064516129,,
9.2,,,,,,,,,,0.0032258064516129,,,,,
9.3,,,,,,,0.0451612903225806,,,,,,,,
10,,0.1838709677419350,0.1419354838709680,,,0.2290322580645160,0.0483870967741935,,,0.1548387096774190,0.2129032258064520,0.0322580645161290,0.0870967741935484,0.0032258064516129,
10.2,,,,,,,,,,,,,,0.0032258064516129,
11,,0.2161290322580650,0.2677419354838710,0.0064935064935065,,0.2580645161290320,,,,0.3677419354838710,0.2967741935483870,0.2741935483870970,0.1516129032258060,0.0129032258064516,
11.2,,,,,,,,,,,,,,,
12,,0.1387096774193550,0.2096774193548390,0.0584415584415584,,0.3419354838709680,,,,0.1967741935483870,0.2483870967741940,0.0161290322580645,0.1387096774193550,0.0258064516129032,
12.2,,,,,,,,,,,,,,0.0032258064516129,
13,0.0064516129032258,0.0387096774193548,0.1064516129032260,0.1720779220779220,,0.0806451612903226,,0.0096774193548387,,0.0419354838709677,0.1032258064516130,,0.1903225806451610,0.2451612903225810,
13.2,,,,,,,,,,,,,,0.0483870967741935,
13.3,,,,,,,,,,,,,,,
14,0.0354838709677419,0.0129032258064516,0.0193548387096774,0.1850649350649350,,0.0161290322580645,,0.2387096774193550,,0.0064516129032258,0.0064516129032258,,0.1806451612903230,0.2774193548387100,
14.2,,,,,,,,,,,,,,0.0774193548387097,
14.3,,,,,,,,,,,,,,,
15,0.3483870967741940,,,0.1525974025974030,,,,0.0354838709677419,,,,,0.1838709677419350,0.0677419354838710,
15.2,,,,,,,,,,,,,,0.1548387096774190,
15.3,,,,,,,,,,,,,,,
16,0.3612903225806450,,,0.1461038961038960,0.0193548387096774,,,0.1677419354838710,,,,,0.0612903225806452,0.0258064516129032,0.0032258064516129
16.2,,,,,,,,,,,,,,0.0483870967741935,
16.3,,,,,,,,,,,,,,,
17,0.2032258064516130,,,0.0876623376623377,0.0548387096774194,,,0.2516129032258060,,,,,0.0032258064516129,,
17.2,,,,,,,,,,,,,,0.0064516129032258,
17.3,,,,,,,,,,,,,,,
18,0.0451612903225806,,,0.0454545454545455,0.1193548387096770,,,0.1580645161290320,,,,,,,0.0419354838709677
18.2,,,,,,,,,,,,,,,
18.3,,,,,,,,,,,,,,,
19,,,,0.0519480519480520,0.2096774193548390,,,0.1096774193548390,,,,,,,0.0580645161290323
19.2,,,,,,,,,,,,,,,
19.3,,,,,,,,,,,,,,,
20,,,,0.0357142857142857,0.1096774193548390,,,0.0225806451612903,,,,,,,0.0516129032258065
20.2,,,,,,,,,,,,,,,
20.3,,,,,,,,,,,,,,,
21,,,,0.0129870129870130,0.0387096774193548,,,0.0064516129032258,,,,,,,0.1193548387096770
21.2,,,,,,,,,,,,,,,0.0064516129032258
22,,,,0.0292207792207792,0.0516129032258065,,,,,,,,,,0.1516129032258060
22.2,,,,,,,,,,,,,,,0.0064516129032258
23,,,,0.0129870129870130,0.1935483870967740,,,,,,,,,,0.2193548387096770
23.2,,,,,,,,,,,,,,,0.0064516129032258
24,,,,0.0032467532467533,0.1354838709677420,,,,,,,,,,0.1903225806451610
24.2,,,,,,,,,,,,,,,0.0161290322580645
25,,,,,0.0548387096774194,,,,,,,,,,0.0580645161290323
25.2,,,,,,,,,,,,,,,0.0129032258064516
26,,,,,0.0129032258064516,,,,,,,,,,0.0354838709677419
26.2,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,0.0064516129032258
27.2,,,,,,,,,,,,,,,
28,,,,,,,,,0.0451612903225806,,,,,,0.0161290322580645
28.2,,,,,,,,,0.0064516129032258,,,,,,
29,,,,,,,,,0.2677419354838710,,,,,,
29.2,,,,,,,,,,,,,,,
30,,,,,,,,,0.2516129032258060,,,,,,
30.2,,,,,,,,,0.0096774193548387,,,,,,
31,,,,,,,,,0.0967741935483871,,,,,,
31.2,,,,,,,,,0.0935483870967742,,,,,,
32,,,,,,,,,0.0290322580645161,,,,,,
32.2,,,,,,,,,0.1580645161290320,,,,,,
33,,,,,,,,,,,,,,,
33.1,,,,,,,,,,,,,,,
33.2,,,,,,,,,0.0354838709677419,,,,,,
34,,,,,,,,,,,,,,,
34.2,,,,,,,,,0.0064516129032258,,,,,,
35,,,,,,,,,,,,,,,
35.2,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
42.2,,,,,,,,,,,,,,,
43.2,,,,,,,,,,,,,,,
44.2,,,,,,,,,,,,,,,
45.2,,,,,,,,,,,,,,,
46.2,,,,,,,,,,,,,,,
47.2,,,,,,,,,,,,,,,
48.2,,,,,,,,,,,,,,,
50.2,,,,,,,,,,,,,,,
51.2,,,,,,,,,,,,,,,
N,310,310,310,308,310,310,310,310,310,310,310,310,310,310,310
