Allele,D3S1358,D13S317,D16S539,D18S51,D2S1338,CSF1PO,TH01,vWA,D21S11,D7S820,D5S818,TPOX,D8S1179,D19S433,FGA
2.2,,,,,,,,,,,,,,,
3.2,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
4.2,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
6,,,,,,,0.2314049586776860,,,,,,,,
6.3,,,,,,,,,,,,,,,
7,,,,,,0.0041322314049587,0.1611570247933880,,,0.0247933884297521,0.0041322314049587,0.0041322314049587,,,
8,,0.1611570247933880,0.0123966942148760,,,0.0041322314049587,0.1239669421487600,,,0.1322314049586780,0.0082644628099174,0.6239669421487600,0.0123966942148760,,
8.3,,,,,,,,,,,,,,,
9,,0.0950413223140496,0.0991735537190083,,,0.0330578512396694,0.1900826446280990,,,0.1115702479338840,0.0289256198347107,0.1198347107438020,0.0165289256198347,0.0014,
9.2,,,,,,,,,,,,,,,
9.3,,,,,,,0.2851239669421490,,,,,,,,
10,,0.0206611570247934,0.0619834710743802,,,0.2644628099173550,0.0082644628099174,,,0.2809917355371900,0.0785123966942149,0.0371900826446281,0.0785123966942149,,
10.2,,,,,,,,,,,,,,,
11,0.0041322314049587,0.2727272727272730,0.2975206611570250,0.0247933884297521,,0.3305785123966940,,,,0.2685950413223140,0.2809917355371900,0.1735537190082640,0.0702479338842975,0.0072,
11.2,,,,,,,,,,,,,,,
12,,0.3264462809917360,0.3512396694214880,0.1198347107438020,,0.2768595041322310,,,,0.1404958677685950,0.3512396694214880,0.0371900826446281,0.1157024793388430,0.0774,
12.2,,,,,,,,,,,,,,0.0057,
13,0.0041322314049587,0.0909090909090909,0.1404958677685950,0.1280991735537190,,0.0661157024793388,,,,0.0330578512396694,0.2355371900826450,0.0041322314049587,0.2892561983471070,0.2894,
13.2,,,,,,,,,,,,,,0.0172,
13.3,,,,,,,,,,,,,,,
14,0.1322314049586780,0.0330578512396694,0.0289256198347107,0.2066115702479340,,0.0123966942148760,,0.1033057851239670,,0.0082644628099174,0.0041322314049587,,0.2520661157024790,0.341,
14.2,,,,,,,,,,,,,,0.0086,
14.3,,,,,,,,,,,,,,,
15,0.2396694214876030,,0.0082644628099174,0.1570247933884300,,0.0082644628099174,,0.1239669421487600,,,0.0082644628099174,,0.1322314049586780,0.1576,
15.2,,,,,,,,,,,,,,0.0272,
15.3,,,,,,,,,,,,,,,
16,0.2355371900826450,,,0.1157024793388430,0.0473,,,0.1818181818181820,,,,,0.0330578512396694,0.0415,0.0041322314049587
16.2,,,,,,,,,,,,,,0.0172,
16.3,,,,,,,,,,,,,,,
17,0.2727272727272730,,,0.1157024793388430,0.1734,,,0.2768595041322310,,,,,,0.0029,
17.2,,,,,,,,,,,,,,0.0029,
17.3,,,,,,,,,,,,,,,
18,0.0950413223140496,,,0.0867768595041322,0.063,,,0.1983471074380170,,,,,,,0.0165289256198347
18.2,,,,,,,,,,,,,,0.0029,
18.3,,,,,,,,,,,,,,,
19,0.0165289256198347,,,0.0206611570247934,0.1375,,,0.0950413223140496,,,,,,,0.0991735537190083
19.2,,,,,,,,,,,,,,,
19.3,,,,,,,,,,,,,,,
20,,,,0.0206611570247934,0.1461,,,0.0206611570247934,,,,,,,0.1157024793388430
20.2,,,,,,,,,,,,,,,
20.3,,,,,,,,,,,,,,,
21,,,,0.0041322314049587,0.0258,,,,,,,,,,0.1942148760330580
21.2,,,,,,,,,,,,,,,
22,,,,,0.0401,,,,,,,,,,0.1776859504132230
22.2,,,,,,,,,,,,,,,
23,,,,,0.1146,,,,,,,,,,0.1322314049586780
23.2,,,,,,,,,,,,,,,
24,,,,,0.1175,,,,,,,,,,0.1239669421487600
24.2,,,,,,,,,,,,,,,
25,,,,,0.106,,,,,,,,,,0.0743801652892562
25.2,,,,,,,,,,,,,,,
26,,,,,0.0272,,,,0.0082644628099174,,,,,,0.0413223140495868
26.2,,,,,,,,,,,,,,,
27,,,,,0.0014,,,,0.0206611570247934,,,,,,0.0165289256198347
27.2,,,,,,,,,,,,,,,
28,,,,,,,,,0.1363636363636360,,,,,,0.0041322314049587
28.2,,,,,,,,,,,,,,,
29,,,,,,,,,0.1983471074380170,,,,,,
29.2,,,,,,,,,0.0041322314049587,,,,,,
30,,,,,,,,,0.2809917355371900,,,,,,
30.2,,,,,,,,,0.0454545454545455,,,,,,
31,,,,,,,,,0.0537190082644628,,,,,,
31.2,,,,,,,,,0.0826446280991736,,,,,,
32,,,,,,,,,0.0082644628099174,,,,,,
32.2,,,,,,,,,0.1363636363636360,,,,,,
33,,,,,,,,,,,,,,,
33.1,,,,,,,,,,,,,,,
33.2,,,,,,,,,0.0206611570247934,,,,,,
34,,,,,,,,,,,,,,,
34.2,,,,,,,,,0.0041322314049587,,,,,,
35,,,,,,,,,,,,,,,
35.2,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
42.2,,,,,,,,,,,,,,,
43.2,,,,,,,,,,,,,,,
44.2,,,,,,,,,,,,,,,
45.2,,,,,,,,,,,,,,,
46.2,,,,,,,,,,,,,,,
47.2,,,,,,,,,,,,,,,
48.2,,,,,,,,,,,,,,,
50.2,,,,,,,,,,,,,,,
51.2,,,,,,,,,,,,,,,
N,242,242,242,242,698,242,242,242,242,242,242,242,242,698,242
