Allele,D3S1358,D13S317,D16S539,D18S51,D2S1338,CSF1PO,TH01,vWA,D21S11,D7S820,D5S818,TPOX,D8S1179,D19S433,FGA
2.2,,,,,,,,,,,,,,,
3.2,,,,,,,,,,,,,,,
4,,,,,,,0.0033112582781457,,,,,,,,
4.2,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
6,,,,,,,0.2417218543046360,,,,,0.0198675496688742,,,
6.3,,,,,,,,,,,,,,,
7,,,,,,0.0198675496688742,0.2350993377483440,,,0.0099337748344371,0.0529801324503311,,,,
8,,0.0993377483443709,0.0331125827814570,,,0.0165562913907285,0.1324503311258280,,,0.1490066225165560,0.0298013245033113,0.4403973509933770,0.0165562913907285,,
8.3,,,,,,,,,,,,,,,
9,,0.1026490066225170,0.1986754966887420,,,0.0066225165562914,0.1523178807947020,,,0.1026490066225170,0.0364238410596026,0.1158940397350990,0.0066225165562914,0.0090000000000000,
9.2,,,,,,,,,,,,,,,
9.3,,,,,,,0.2317880794701990,,,,,,,,
10,,0.0629139072847682,0.1225165562913910,0.0033112582781457,,0.2814569536423840,0.0033112582781457,,,0.2682119205298010,0.0562913907284768,0.0562913907284768,0.0894039735099338,0.0090000000000000,
10.2,,,,,,,,,,,,,,0.0090000000000000,
11,0.0033112582781457,0.2384105960264900,0.2549668874172190,,,0.2847682119205300,,,,0.2615894039735100,0.3079470198675500,0.3013245033112580,0.0562913907284768,0.0090000000000000,
11.2,,,,,,,,,,,,,,0.0090000000000000,
12,0.0066225165562914,0.3145695364238410,0.2086092715231790,0.1026490066225170,,0.3245033112582780,,,,0.1754966887417220,0.3377483443708610,0.0629139072847682,0.1092715231788080,0.0620000000000000,
12.2,,,,,,,,,,,,,,0.0190000000000000,
13,0.0033112582781457,0.1357615894039740,0.1523178807947020,0.0960264900662252,,0.0496688741721854,,0.0066225165562914,,0.0298013245033113,0.1688741721854300,0.0033112582781457,0.3211920529801320,0.1600000000000000,
13.2,,,,,,,,,,,,,,0.0860000000000000,
13.3,,,,,,,,,,,,,,,
14,0.0397350993377483,0.0463576158940397,0.0298013245033113,0.1754966887417220,,0.0165562913907285,,0.0695364238410596,,0.0033112582781457,0.0099337748344371,,0.1986754966887420,0.3170000000000000,
14.2,,,,,,,,,,,,,,0.0500000000000000,
14.3,,,,,,,,,,,,,,,
15,0.3509933774834440,,,0.1589403973509930,0.0090000000000000,,,0.1324503311258280,,,,,0.1655629139072850,0.1350000000000000,
15.2,,,,,,,,,,,,,,0.0880000000000000,
15.3,,,,,,,,,,,,,,,
16,0.2980132450331130,,,0.1225165562913910,0.0240000000000000,,,0.2913907284768210,,,,,0.0331125827814570,0.0430000000000000,0.0033112582781457
16.2,,,,,,,,,,,,,,0.0290000000000000,
16.3,,,,,,,,,,,,,,,
17,0.1953642384105960,,,0.1589403973509930,0.2120000000000000,,,0.2284768211920530,,,,,0.0033112582781457,0.0090000000000000,
17.2,,,,,,,,,,,,,,0.0090000000000000,
17.3,,,,,,,,,,,,,,,
18,0.0960264900662252,,,0.0728476821192053,0.0410000000000000,,,0.1423841059602650,,,,,,,0.0099337748344371
18.2,,,,,,,,,,,,,,0.0090000000000000,0.0066225165562914
18.3,,,,,,,,,,,,,,,
19,0.0066225165562914,,,0.0496688741721854,0.2280000000000000,,,0.1092715231788080,,,,,,,0.0430463576158940
19.2,,,,,,,,,,,,,,,
19.3,,,,,,,,,,,,,,,
20,,,,0.0264900662251656,0.1380000000000000,,,0.0198675496688742,,,,,,,0.1192052980132450
20.2,,,,,,,,,,,,,,,
20.3,,,,,,,,,,,,,,,
21,,,,0.0231788079470199,0.0260000000000000,,,,,,,,,,0.1258278145695360
21.2,,,,,,,,,,,,,,,0.0066225165562914
22,,,,0.0033112582781457,0.0740000000000000,,,,,,,,,,0.1953642384105960
22.2,,,,,,,,,,,,,,,
23,,,,0.0066225165562914,0.1140000000000000,,,,,,,,,,0.1490066225165560
23.2,,,,,,,,,,,,,,,
24,,,,,0.0850000000000000,,,,,,,,,,0.1225165562913910
24.2,,,,,,,,,,,,,,,
25,,,,,0.0520000000000000,,,,0.0033112582781457,,,,,,0.1158940397350990
25.2,,,,,,,,,,,,,,,
26,,,,,0.0090000000000000,,,,,,,,,,0.0562913907284768
26.2,,,,,,,,,,,,,,,
27,,,,,0.0090000000000000,,,,0.0298013245033113,,,,,,0.0298013245033113
27.2,,,,,,,,,,,,,,,
28,,,,,0.0090000000000000,,,,0.1258278145695360,,,,,,0.0132450331125828
28.2,,,,,,,,,,,,,,,
29,,,,,,,,,0.2052980132450330,,,,,,0.0033112582781457
29.2,,,,,,,,,,,,,,,
30,,,,,,,,,0.2185430463576160,,,,,,
30.2,,,,,,,,,0.0231788079470199,,,,,,
31,,,,,,,,,0.0430463576158940,,,,,,
31.2,,,,,,,,,0.1192052980132450,,,,,,
32,,,,,,,,,0.0165562913907285,,,,,,
32.2,,,,,,,,,0.1192052980132450,,,,,,
33,,,,,,,,,0.0033112582781457,,,,,,
33.1,,,,,,,,,,,,,,,
33.2,,,,,,,,,0.0629139072847682,,,,,,
34,,,,,,,,,0.0066225165562914,,,,,,
34.2,,,,,,,,,0.0099337748344371,,,,,,
35,,,,,,,,,0.0099337748344371,,,,,,
35.2,,,,,,,,,,,,,,,
36,,,,,,,,,0.0033112582781457,,,,,,
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
42.2,,,,,,,,,,,,,,,
43.2,,,,,,,,,,,,,,,
44.2,,,,,,,,,,,,,,,
45.2,,,,,,,,,,,,,,,
46.2,,,,,,,,,,,,,,,
47.2,,,,,,,,,,,,,,,
48.2,,,,,,,,,,,,,,,
50.2,,,,,,,,,,,,,,,
51.2,,,,,,,,,,,,,,,
N,242,242,242,242,698,242,242,242,242,242,242,242,242,698,242
